Designator,Mid X,Mid Y,Rotation,Layer
C1,125.5,-132.1,0.0,bottom
C10,130.25,-99.5,90.0,bottom
C11,132.25,-99.5,90.0,bottom
C12,138.75,-100.05,180.0,bottom
C13,125.55,-109.5,180.0,bottom
C14,119.0,-107.75,150.0,bottom
C15,113.5,-122.96,180.0,bottom
C16,113.5,-121.0,180.0,bottom
C17,118.25,-118.05,270.0,bottom
C18,128.1,-117.55,270.0,bottom
C19,132.55,-119.85,135.0,bottom
C2,142.55,-127.6,135.0,bottom
C20,149.0,-127.5,90.0,bottom
C21,150.769778,-133.952954,105.0,bottom
C22,131.05,-118.6,315.0,bottom
C23,140.5,-109.0,0.0,bottom
C4,137.3,-113.6,225.0,bottom
C5,133.05,-113.85,315.0,bottom
C6,125.5,-111.2,180.0,bottom
C7,140.3,-101.25,270.0,top
C8,138.25,-100.98,270.0,top
C9,126.2,-106.1,0.0,bottom
D1,121.75,-104.75,30.0,top
D2,130.0,-104.5,90.0,bottom
D3,122.75,-106.25,30.0,top
D4,110.0,-119.0,80.0,top
DCOK,141.8,-107.712499,90.0,top
FB2,126.25,-104.5,180.0,bottom
FB3,144.993153,-125.156848,315.0,bottom
J1,119.409889,-102.84194,300.0,top
J2,148.733091,-109.383092,35.0,top
J4,144.2,-116.8,135.0,bottom
J5,111.773199,-111.943539,350.0,top
J6,109.360024,-126.201135,350.0,top
L1,111.25,-116.5,10.0,bottom
MK1,149.75,-132.25,170.0,top
P2,131.0,-99.25,180.0,top
Q1,116.25,-110.75,150.0,bottom
R1,129.0,-132.1,0.0,bottom
R10,138.26,-104.6,270.0,top
R11,134.25,-99.5,90.0,bottom
R12,140.0,-104.6,270.0,top
R13,134.5,-104.5,270.0,bottom
R14,132.75,-104.5,90.0,bottom
R15,148.75,-124.0,90.0,bottom
R16,120.7,-113.7,270.0,bottom
R17,118.25,-106.0,330.0,bottom
R18,117.1,-114.1,180.0,bottom
R19,117.6,-122.85,90.0,bottom
R2,132.416637,-129.683363,135.0,bottom
R20,119.45,-122.85,270.0,bottom
R21,120.95,-109.75,90.0,bottom
R22,122.7,-109.75,90.0,bottom
R23,151.75,-128.25,0.0,bottom
R24,143.75,-130.25,285.0,bottom
R25,142.75,-133.5,285.0,bottom
R26,147.25,-127.4,270.0,bottom
R3,133.666637,-130.933363,135.0,bottom
R4,146.5,-111.85,225.0,bottom
R5,144.5,-108.9,45.0,bottom
R6,148.85,-114.95,225.0,bottom
R7,138.15,-110.625,270.0,bottom
R8,141.75,-104.6,270.0,top
R9,128.25,-99.5,90.0,bottom
RX,140.0,-107.7,90.0,top
S2,127.850001,-143.149999,350.0,top
SW1,152.123599,-122.25,90.0,top
SW2,128.0,-136.6,0.0,bottom
TX,138.25,-107.7,90.0,top
U1,140.0,-104.75,0.0,bottom
U2,137.55,-123.6,225.0,bottom
U3,124.449999,-115.925001,180.0,bottom
U4,114.5,-107.5,330.0,bottom
U5,115.25,-118.0,270.0,bottom
U6,147.0,-133.5,195.0,bottom
Y1,135.05,-115.6,135.0,bottom
